name,text
Add MS 7474_0013_r1_l11p1,بَلُا
Add MS 7474_0050_r8_l19p7,السٌَطْح
Add MS 7474_0042_r2_l8p12,بُرْهَانُهُ
Add MS 7474_0049_r3_l16p9,الاُولَى
Add MS 23494_0039_r0_l7p7,المقابل
Add MS 23494_0030_r0_l11p6,لحن
Add MS 7474_0028_r10_l24p7,المسَدَسِ
Add MS 7474_0050_r8_l19p2,الثَانِِي
Add MS 7474_0013_r1_l10p2,وحدَهُ
Add MS 23494_0039_r0_l10p10,الأشراق
Add MS 7474_0050_r8_l53p5,زَاوِيةِِ
Add MS 23494_0028_r1_l16p7,بكلْ
Add MS 23494_0032_r0_l6p5,ويقال
Add MS 7474_0106_r0_l21p6,الربيعيه
Add MS 7474_0050_r8_l43p6,أيْسَرَ
Add MS 23494_0030_r0_l10p1,التوبة
Add MS 7474_0106_r0_l13p10,وجودها
Add MS 23494_0039_r0_l21p8,في
Add MS 7474_0106_r0_l11p9,امَا
Add MS 7474_0042_r2_l0p3,وَتَرٍِ
Add MS 23494_0047_r1_l7p8,رجب
Add MS 23494_0033_r0_l4p7,عشرا
Add MS 7474_0049_r3_l27p2,أجزَاءِ
Add MS 23494_0045_r0_l15p5,اراد
Add MS 23494_0032_r0_l4p4,المقامٰات
Add MS 7474_0048_r4_l16p9,ا
Add MS 23494_0032_r0_l5p3,ساعته
Add MS 7474_0048_r4_l10p10,عَشْرَة
Add MS 23494_0028_r1_l15p8,العجم
Add MS 7474_0104_r1_l35p5,اجل
Add MS 7474_0106_r0_l17p9,عليه
Add MS 23494_0044_r0_l11p10,قراءة
Add MS 23494_0028_r1_l25p2,الكريم
Add MS 23494_0028_r1_l16p3,وسئلني
Add MS 7474_0028_r10_l25p1,إِِِِِذا
Add MS 7474_0104_r1_l19p8,نُبين
Add MS 7474_0050_r8_l29p5,سَطْحُ
Add MS 7474_0050_r8_l33p4,نًصًبْنَا
Add MS 7474_0042_r2_l27p4,من
Add MS 23494_0033_r0_l9p7,الابتداء
Add MS 7474_0106_r0_l35p4,ل
Add MS 23494_0033_r0_l18p9,قصيدة
Add MS 23494_0033_r0_l24p1,هذا
Add MS 23494_0047_r1_l6p8,قدد
Add MS 7474_0049_r3_l16p10,منَ
Add MS 7474_0048_r4_l8p2,وَخَمسِينَ
Add MS 7474_0049_r3_l16p2,الاُولَى
Add MS 7474_0048_r4_l36p1,وَالعِشرِِِِيَن
Add MS 23494_0044_r0_l1p7,كنت
Add MS 23494_0030_r0_l7p7,ما
Add MS 23494_0047_r1_l11p9,ما
Add MS 23494_0044_r0_l6p6,ان
Add MS 23494_0045_r0_l10p7,هذا
Add MS 23494_0032_r0_l11p3,عطارد
Add MS 23494_0047_r1_l3p7,ماء
Add MS 7474_0042_r2_l3p6,مِنَ
Add MS 23494_0047_r1_l2p9,نادي
Add MS 7474_0028_r10_l11p6,لِيئَلاَ
Add MS 7474_0028_r10_l20p14,يُساوِي
Add MS 7474_0050_r8_l37p9,بِكُلِ
Add MS 7474_0028_r10_l19p9,هاتُهُ
Add MS 23494_0045_r0_l11p6,والأستاد
Add MS 7474_0013_r1_l8p11,الٍِْجنٍْسَيْنِ
Add MS 23494_0039_r0_l11p8,الشوق
Add MS 23494_0047_r1_l35p3,يا
Add MS 23494_0030_r0_l15p10,لحن
Add MS 23494_0039_r0_l10p12,قرء
Add MS 23494_0039_r0_l13p4,والزيتون
Add MS 23494_0030_r0_l21p2,الأول
Add MS 23494_0033_r0_l10p7,الاثني
Add MS 7474_0028_r10_l23p14,دَبَ
Add MS 7474_0048_r4_l16p6,قَوٍْسِ
Add MS 23494_0044_r0_l17p9,واكبت
Add MS 7474_0104_r0_l0p2,عطيه
Add MS 23494_0030_r0_l5p3,تزل
Add MS 23494_0047_r1_l26p5,فالق
Add MS 7474_0106_r0_l3p1,زاويتين
Add MS 23494_0047_r1_l16p9,لمجة
Add MS 23494_0047_r1_l36p4,فقلٌدها
Add MS 23494_0039_r0_l10p3,في
Add MS 23494_0047_r1_l23p5,هو حي
Add MS 7474_0028_r10_l25p2,كَانَا
Add MS 23494_0039_r0_l3p7,و ذكر
Add MS 7474_0106_r0_l25p9,المقدار
Add MS 7474_0028_r10_l22p4,زدَ
Add MS 7474_0013_r1_l14p7,المَرَاتِبِ
Add MS 23494_0032_r0_l10p6,طبعه
Add MS 7474_0042_r2_l0p11,قَاعِِدَتُهَا
Add MS 23494_0047_r1_l35p11,نحب
Add MS 23494_0033_r0_l17p3,اطلع
Add MS 23494_0044_r0_l9p6,نظمر
Add MS 7474_0104_r1_l23p5,الافق
Add MS 23494_0044_r0_l21p3,الزنكوله
Add MS 23494_0045_r0_l13p5,في
Add MS 23494_0044_r0_l17p3,اما
Add MS 23494_0032_r0_l8p8,يوم
Add MS 23494_0032_r0_l18p5,و يقال
Add MS 7474_0049_r3_l21p3,وَهُوَ
Add MS 23494_0033_r0_l6p8,مقام
Add MS 7474_0042_r2_l4p10,مِنْ
Add MS 7474_0104_r1_l17p9,الافق
Add MS 23494_0030_r0_l15p7,نفسًََا
Add MS 7474_0049_r3_l12p2,نصٌفِ
Add MS 23494_0032_r0_l17p1,ترابي
Add MS 23494_0028_r1_l14p6,الفروع
Add MS 7474_0042_r2_l7p8,وَتَرِِ
Add MS 23494_0028_r1_l19p8,لم
Add MS 7474_0028_r10_l22p9,مرَبَعي
Add MS 7474_0106_r0_l19p7,ه
Add MS 23494_0030_r0_l5p10,الزٌمان
Add MS 7474_0050_r8_l43p1,ايضًَا
Add MS 23494_0044_r0_l17p6,مر
Add MS 7474_0050_r8_l33p10,في
Add MS 23494_0044_r0_l4p6,والحزين
Add MS 23494_0032_r0_l16p8,فالنون
Add MS 23494_0032_r0_l5p4,الشمُس
Add MS 7474_0013_r1_l9p9,أَُبَدًَا
Add MS 23494_0044_r0_l20p4,ولحيتي
Add MS 23494_0033_r0_l18p4,ذلك
Add MS 23494_0044_r0_l21p8,و الصوفيان
Add MS 7474_0013_r1_l11p9,غِيِِِْر
Add MS 23494_0032_r0_l9p9,نترحبوغ
Add MS 23494_0033_r0_l7p1,ومن
Add MS 23494_0032_r0_l7p9,طبعه
Add MS 7474_0050_r8_l51p9,خَطَيْرِ
Add MS 7474_0048_r4_l36p13,رمايةٍ
Add MS 23494_0047_r1_l35p6,في
Add MS 23494_0045_r0_l3p9,الى
Add MS 7474_0050_r8_l12p6,سَئمْتِ
Add MS 23494_0033_r0_l9p1,ذكروا
Add MS 7474_0049_r3_l2p5,القسي
Add MS 7474_0104_r1_l9p7,الحادِثاُُتِ
Add MS 23494_0044_r0_l14p6,دالواست
Add MS 7474_0013_r1_l12p8,لجِمَيعِ
Add MS 23494_0033_r0_l13p9,وضعها
Add MS 23494_0028_r1_l13p6,المرضعات
Add MS 7474_0042_r2_l0p4,اج
Add MS 23494_0045_r0_l4p8,فانتقل
Add MS 7474_0042_r2_l3p7,الدٌَواير
Add MS 7474_0042_r2_l7p15,قَوسِ
Add MS 7474_0104_r1_l23p9,لذلك
Add MS 23494_0030_r0_l9p5,ولده
Add MS 7474_0049_r3_l9p5,عَشَرَة
Add MS 7474_0013_r1_l7p3,هُمَا
Add MS 23494_0047_r1_l35p9,في
Add MS 23494_0030_r0_l5p4,على
Add MS 23494_0032_r0_l5p5,في
Add MS 23494_0047_r1_l23p7,الزهاوي
Add MS 7474_0106_r0_l17p10,هَزَ
Add MS 23494_0044_r0_l10p12,بنما
Add MS 7474_0106_r0_l29p1,جزءا
Add MS 23494_0033_r0_l9p4,احد
Add MS 23494_0028_r1_l11p8,رسالة
Add MS 23494_0032_r0_l1p3,ستر نكاد
Add MS 7474_0050_r8_l47p7,سَطْحٌ
Add MS 7474_0042_r2_l11p1,دَزَ
Add MS 23494_0047_r1_l29p3,يولي
Add MS 23494_0030_r0_l16p10,قتل
Add MS 23494_0033_r0_l19p12,الله
Add MS 23494_0028_r1_l8p3,من
Add MS 23494_0047_r1_l35p1,ما
Add MS 7474_0028_r10_l13p9,الأبْواِبِ
Add MS 7474_0028_r10_l11p10,مَوْضُوعَهٌ
Add MS 7474_0049_r3_l2p9,من
Add MS 23494_0033_r0_l7p7,شمس
Add MS 7474_0050_r8_l24p3,الخَط
Add MS 23494_0032_r0_l9p3,الشعب
Add MS 23494_0044_r0_l7p7,المخصُوص
Add MS 23494_0044_r0_l2p9,و المحير
Add MS 7474_0042_r2_l3p11,ز
Add MS 23494_0028_r1_l8p7,الدفاعي
Add MS 23494_0033_r0_l25p8,والواو
Add MS 7474_0042_r2_l14p7,الَى
Add MS 7474_0104_r1_l13p4,المفروض
Add MS 7474_0050_r8_l37p8,كُلهَا
Add MS 7474_0013_r1_l12p1,عِلمِ
Add MS 7474_0028_r10_l9p2,عَلَى
Add MS 7474_0104_r1_l21p2,النقط
Add MS 23494_0030_r0_l11p8,ء
Add MS 7474_0042_r2_l9p1,هذا
Add MS 7474_0013_r1_l20p10,الأْْشْيَاٌءِ
Add MS 23494_0044_r0_l9p8,مٰنها
Add MS 23494_0030_r0_l3p5,عشر
Add MS 7474_0028_r10_l10p11,اسْتخْراجًا
Add MS 7474_0042_r2_l3p2,عَلََََُيكم
Add MS 23494_0030_r0_l2p7,في
Add MS 23494_0047_r1_l11p13,ضم
Add MS 7474_0013_r1_l9p12,الْعِلٌمٌي
Add MS 7474_0050_r8_l58p1,قَوْسَ
Add MS 7474_0048_r4_l34p12,وَالثٌلاثِ
Add MS 23494_0030_r0_l1p5,الحانا
Add MS 7474_0042_r2_l19p2,اية
Add MS 7474_0013_r1_l1p8,الْأبَدِيَِةِ
Add MS 7474_0106_r0_l15p2,وَ فقط
Add MS 7474_0050_r8_l33p2,الْعَموُدِ
Add MS 23494_0032_r0_l16p7,المقامات
Add MS 7474_0028_r10_l17p4,زَاويَةُ
Add MS 23494_0039_r0_l14p3,قرائتك
Add MS 7474_0104_r1_l33p13,ه
Add MS 7474_0104_r1_l15p1,وجودهَا
Add MS 7474_0106_r0_l31p1,هَ
Add MS 7474_0028_r10_l21p6,وَ مُربَعَا
Add MS 7474_0049_r3_l8p10,من
Add MS 23494_0045_r0_l15p7,بقرءان
Add MS 7474_0028_r10_l17p9,دَبَ
Add MS 7474_0104_r1_l21p1,لان
Add MS 7474_0048_r4_l20p7,مَا
Add MS 23494_0032_r0_l11p5,الفلك
Add MS 23494_0032_r0_l8p5,في
Add MS 23494_0032_r0_l7p5,سابع
Add MS 23494_0028_r1_l7p9,الكريم
Add MS 23494_0028_r1_l22p2,و خاتمة
Add MS 7474_0049_r3_l20p7,النهار
Add MS 7474_0049_r3_l21p10,طُلُوع
Add MS 7474_0048_r4_l32p9,نِسبَةُ
Add MS 7474_0050_r8_l16p5,سَمْتِ
Add MS 7474_0049_r3_l27p13,الفلَك
Add MS 23494_0047_r1_l0p4,الثالث
Add MS 23494_0032_r0_l18p7,نورون
Add MS 23494_0030_r0_l5p2,و لم
Add MS 23494_0047_r1_l26p7,مدد
Add MS 23494_0033_r0_l25p2,و الميم
Add MS 7474_0049_r3_l13p3,مِن
Add MS 7474_0048_r4_l24p4,فأّذَا
Add MS 23494_0045_r0_l18p4,وافقتهما
Add MS 23494_0032_r0_l11p8,الاربعاء
Add MS 7474_0013_r1_l10p1,المقامٰات
Add MS 23494_0044_r0_l12p2,فلا
Add MS 23494_0039_r0_l4p5,يَنْقَسِمَ
Add MS 23494_0032_r0_l7p1,سليمة
Add MS 23494_0045_r0_l3p4,المقامٰات
Add MS 23494_0039_r0_l9p8,فلا
Add MS 7474_0106_r0_l41p2,يَنْقَسِمَ
Add MS 7474_0048_r4_l6p1,سليمة
Add MS 23494_0033_r0_l24p8,المقامٰات
Add MS 7474_0104_r1_l11p8,فلا
Add MS 23494_0030_r0_l7p2,يَنْقَسِمَ
Add MS 23494_0045_r0_l16p9,سليمة
Add MS 7474_0028_r10_l10p10,المقامٰات
Add MS 7474_0042_r2_l2p3,فلا
Add MS 23494_0030_r0_l17p6,يَنْقَسِمَ
Add MS 7474_0050_r8_l51p3,سليمة
Add MS 23494_0033_r0_l7p8,المقامٰات
Add MS 7474_0104_r1_l29p1,فلا
Add MS 23494_0047_r1_l2p7,يَنْقَسِمَ
Add MS 7474_0050_r8_l39p2,سليمة
Add MS 23494_0044_r0_l17p8,المقامٰات
Add MS 7474_0106_r0_l11p12,فلا
Add MS 7474_0013_r1_l16p9,يَنْقَسِمَ
Add MS 7474_0028_r10_l12p5,سليمة
Add MS 7474_0104_r1_l13p1,المقامٰات
Add MS 7474_0042_r2_l4p2,فلا
Add MS 7474_0106_r0_l5p5,يَنْقَسِمَ
Add MS 7474_0028_r10_l11p5,سليمة
Add MS 23494_0044_r0_l19p4,المقامٰات
Add MS 7474_0106_r0_l13p2,فلا
Add MS 7474_0049_r3_l7p2,يَنْقَسِمَ
Add MS 23494_0030_r0_l15p5,سليمة
Add MS 23494_0028_r1_l24p5,المقامٰات
Add MS 23494_0039_r0_l13p1,فلا
Add MS 23494_0045_r0_l13p9,يَنْقَسِمَ
Add MS 23494_0030_r0_l1p2,سليمة
Add MS 7474_0050_r8_l10p8,المقامٰات
Add MS 7474_0104_r1_l23p1,فلا
Add MS 7474_0049_r3_l27p1,يَنْقَسِمَ
Add MS 23494_0039_r0_l9p6,سليمة
Add MS 7474_0106_r0_l9p7,المقامٰات
Add MS 23494_0032_r0_l7p2,فلا
Add MS 7474_0104_r1_l23p10,يَنْقَسِمَ
Add MS 23494_0028_r1_l25p10,سليمة
Add MS 7474_0104_r1_l9p10,المقامٰات
Add MS 7474_0106_r0_l40p4,فلا
