Id,prediction
LL-I-06929151,0
LL-I-05963825,1
LL-I-13359932,1
LL-I-06464500,0
LL-I-13054376,1
LL-I-05392704,0
LL-I-08662612,0
LL-I-11685668,0
LL-I-08236024,1
LL-I-14706739,0
LL-I-00841323,1
LL-I-10720974,0
LL-I-10039217,0
LL-I-07961998,0
LL-I-08409924,0
LL-I-09480876,1
LL-I-04918807,0
LL-I-18269778,0
LL-I-00383820,0
LL-I-06451849,0
LL-I-08817005,0
LL-I-01637972,0
LL-I-07685209,0
LL-I-18028956,0
LL-I-13088659,1
LL-I-16237223,0
LL-I-13677198,1
LL-I-05867612,1
LL-I-06511561,0
LL-I-06833815,0
LL-I-16555296,0
LL-I-11719765,0
LL-I-01275079,1
LL-I-06008698,0
LL-I-15841859,0
LL-I-01579601,0
LL-I-17475794,1
LL-I-10673511,1
LL-I-04309393,1
LL-I-04276464,0
LL-I-06261871,0
LL-I-17907485,1
LL-I-06085006,0
LL-I-16546073,0
LL-I-02273107,0
LL-I-11490558,1
LL-I-08368219,0
LL-I-17507867,0
LL-I-09655295,0
LL-I-14879194,0
LL-I-10404693,0
LL-I-12393300,1
LL-I-11371392,1
LL-I-11931412,1
LL-I-16064415,0
LL-I-14517321,1
LL-I-05661985,0
LL-I-06071303,0
LL-I-10656514,0
LL-I-12373916,1
LL-I-11741049,0
LL-I-17669861,0
LL-I-14465873,0
LL-I-12178007,0
LL-I-18441013,1
LL-I-06073373,1
LL-I-10039569,1
LL-I-09416600,0
LL-I-16027208,0
LL-I-06460816,0
LL-I-12104527,0
LL-I-16670998,0
LL-I-09839147,1
LL-I-06291514,1
LL-I-12780995,0
LL-I-12740275,0
LL-I-18212115,1
LL-I-14629516,0
LL-I-17700714,1
LL-I-12227790,0
LL-I-12957032,1
LL-I-01113262,0
LL-I-12005279,1
LL-I-10038527,1
LL-I-17711517,1
LL-I-12835784,1
LL-I-03562113,1
LL-I-18313594,1
LL-I-12420959,0
LL-I-03748716,0
LL-I-13660213,1
LL-I-16332675,1
LL-I-16604038,0
LL-I-06091188,0
LL-I-05122931,0
LL-I-08811902,0
LL-I-04517468,1
LL-I-13410405,0
LL-I-09640073,0
LL-I-14776403,0
LL-I-08414086,1
LL-I-15969203,0
LL-I-11625720,0
LL-I-11057178,1
LL-I-12850250,0
LL-I-12167158,0
LL-I-13540174,1
LL-I-07731899,0
LL-I-00947418,0
LL-I-04845594,0
LL-I-06027877,0
LL-I-03923945,1
LL-I-16991354,1
LL-I-08092645,1
LL-I-16815878,1
LL-I-02437858,0
LL-I-14600944,0
LL-I-17212729,1
LL-I-18586253,0
LL-I-05005341,0
LL-I-12867708,0
LL-I-02672499,1
LL-I-10084116,0
LL-I-15192484,1
LL-I-04291646,0
LL-I-17347116,0
LL-I-17884765,0
LL-I-12109335,0
LL-I-12679446,0
LL-I-09861731,0
LL-I-06991734,0
LL-I-06277210,0
LL-I-06896129,0
LL-I-11481722,0
LL-I-05995055,1
LL-I-13014130,1
LL-I-12608574,0
LL-I-15014566,0
LL-I-09498215,0
LL-I-01360690,0
LL-I-12307387,0
LL-I-16938559,0
LL-I-11701510,0
LL-I-18497100,0
LL-I-12344005,0
LL-I-08624533,0
LL-I-12101169,0
LL-I-05346929,0
LL-I-12178355,1
LL-I-14793692,0
LL-I-16695671,1
LL-I-01904335,1
LL-I-17121010,1
LL-I-08964456,0
LL-I-12179955,0
LL-I-18403560,0
LL-I-17383368,0
LL-I-05022175,0
LL-I-05106784,0
LL-I-02045630,0
LL-I-12985728,0
LL-I-17276846,0
LL-I-05304687,1
LL-I-01170895,0
LL-I-13337129,0
LL-I-14039040,1
LL-I-14183294,0
LL-I-12106300,1
LL-I-02186069,0
LL-I-18107066,0
LL-I-12136829,0
LL-I-12254281,1
LL-I-11589752,0
LL-I-13844123,0
LL-I-10313428,0
LL-I-07856907,0
LL-I-12613183,1
LL-I-17673170,0
LL-I-05325796,0
LL-I-13241292,1
LL-I-08873352,0
LL-I-03753123,0
LL-I-08273381,0
LL-I-18357958,0
LL-I-16638453,0
LL-I-00638247,0
LL-I-18331403,0
LL-I-17949026,1
LL-I-18349493,0
LL-I-07228243,0
LL-I-05622938,0
LL-I-07491240,0
LL-I-10251123,0
LL-I-16945518,1
LL-I-09852379,0
LP-I-00000139,1
LL-I-10295293,0
LL-I-13699200,0
LL-I-02892836,0
LL-I-03327482,0
LL-I-06096660,0
LL-I-15219031,1
LL-I-05868393,0
LL-I-00067673,1
LL-I-18457458,0
LL-I-04684497,0
LL-I-17536140,1
LL-I-05019187,0
LL-I-13880320,0
LL-I-12103761,0
LL-I-17902396,1
LL-I-08326871,1
LL-I-12204123,0
LL-I-11964271,0
LL-I-15893198,0
LL-I-12087147,0
LL-I-08402799,0
LL-I-11679762,0
LL-I-15988717,0
LL-I-10285231,0
LL-I-10988437,1
LL-I-17376389,0
LL-I-14552851,1
LL-I-01336971,1
LL-I-01551910,0
LL-I-02284454,0
LL-I-12653784,0
LL-I-14481868,0
LL-I-06376593,1
LL-I-02057851,1
LL-I-12172951,0
LL-I-09317470,0
LL-I-12508158,0
LL-I-13248629,0
LL-I-10699539,0
LL-I-14624901,0
LL-I-01637823,0
LL-I-10626164,0
LL-I-01612479,0
LL-I-12103841,0
LL-I-09067586,0
LL-I-13133189,0
LL-I-06194844,0
LL-I-13603604,0
LL-I-09029928,0
LL-I-10036271,0
LL-I-12110186,0
LL-I-09616592,0
LL-I-05398849,0
LL-I-12342638,1
LL-I-13142768,0
LL-I-08622253,0
LL-I-09768627,0
LL-I-14206385,1
LL-I-02771972,0
LL-I-17536907,0
LL-I-12527096,0
LL-I-01011500,0
LL-I-17098074,1
LL-I-09294147,1
LL-I-12909639,0
LL-I-14573986,1
LL-I-17416304,1
LL-I-12254952,0
LL-I-12979458,0
LL-I-04408982,0
LL-I-09549060,1
LL-I-10302103,0
LL-I-13013068,0
LL-I-15406956,1
LL-I-15393549,0
LL-I-12236708,0
LL-I-12630243,1
LL-I-18140111,0
LL-I-14390511,0
LL-I-17355603,1
LL-I-17941751,0
LL-I-06154727,0
LL-I-14575953,0
LL-I-16492835,0
LL-I-12755394,0
LL-I-12178103,0
LL-I-15079548,0
LL-I-17985882,1
LL-I-08687642,1
LL-I-18344844,1
LL-I-10783816,0
LL-I-12114044,1
LL-I-13934616,0
LL-I-18247555,0
LL-I-12166488,0
LL-I-17057675,0
LL-I-04408970,1
LL-I-12339876,0
LL-I-01639460,0
LL-I-11175487,0
LL-I-06397367,0
LL-I-10646303,0
LL-I-11184458,0
LL-I-09504466,0
LL-I-16547509,0
LL-I-12335887,0
LL-I-17985940,0
LL-I-14646628,1
LL-I-03884509,0
LL-I-02718770,0
LL-I-08339404,0
LL-I-07264872,0
LL-I-14502257,1
LL-I-16552936,1
LL-I-09656561,0
LL-I-11674126,0
LL-I-05657066,0
LL-I-12079959,1
LL-I-08198354,0
LL-I-15261515,0
LL-I-00855284,0
LL-I-17391646,0
LL-I-12928510,0
LL-I-12143527,0
LL-I-11880595,1
LL-I-06252348,1
LL-I-06548867,0
LL-I-05763432,0
LL-I-12711554,0
LL-I-15827729,1
LL-I-10872876,1
LL-I-05795118,0
LL-I-05136588,1
LL-I-12474286,0
LL-I-09967713,0
LL-I-12464500,0
LL-I-14128493,1
LL-I-09076820,0
LL-I-09667064,0
LL-I-06340923,0
LL-I-00936827,0
LL-I-08158161,0
LL-I-08705528,0
LL-I-13072524,1
LL-I-01634251,1
LL-I-05863105,0
LL-I-13810640,0
LL-I-12421985,1
LL-I-14231118,0
LL-I-02138554,1
LL-I-12104679,0
LL-I-06558061,0
LL-I-16181574,0
LL-I-09945232,1
LL-I-11885792,0
LL-I-09959272,0
LL-I-07523010,0
LL-I-03039230,0
LL-I-03375463,0
LL-I-12927581,1
LL-I-05996807,0
LL-I-08440851,0
LL-I-02816621,0
LL-I-05723769,1
LL-I-11802695,0
LL-I-05916171,0
LL-I-12873733,0
LL-I-13655752,1
LL-I-17624269,0
LL-I-11648663,0
LL-I-10996580,0
LL-I-12430157,1
LL-I-06167257,0
LL-I-06572392,1
LL-I-16973792,0
LL-I-07426319,0
LL-I-12105363,0
LL-I-06107670,0
LL-I-14329449,0
LL-I-10911926,1
LL-I-09903027,0
LL-I-06547309,0
LL-I-09326254,1
LL-I-12990065,0
LL-I-14758190,0
LL-I-06164788,0
LL-I-00328139,0
LL-I-18232327,0
LL-I-03743047,0
LL-I-05936833,0
LL-I-09069252,1
LL-I-18231457,1
LL-I-11268931,0
LL-I-04144172,0
LL-I-12526631,0
LL-I-12197959,0
LL-I-12431657,1
LL-I-12319626,1
LL-I-05508173,1
LL-I-05346847,0
LL-I-06810195,0
LL-I-01284837,1
LL-I-06286750,1
LL-I-14754220,0
LL-I-09837558,0
LL-I-12103757,0
LL-I-05733611,1
LL-I-04874317,0
LL-I-04893542,1
LL-I-06519262,0
LL-I-12178034,0
LL-I-11316695,0
LL-I-07886255,0
LL-I-15672263,0
LL-I-06566744,0
LL-I-14968690,0
LL-I-17522847,0
LL-I-16511832,0
LL-I-18531136,0
LL-I-05925791,0
LL-I-05955862,0
LL-I-04030518,0
LL-I-15770183,1
LL-I-06830160,1
LL-I-11848352,0
LL-I-05831007,0
LL-I-08553575,0
LL-I-14252524,1
LL-I-14499702,0
LL-I-09535744,1
LL-I-09780008,0
LL-I-11038221,0
LL-I-02276589,0
LL-I-10535214,0
LL-I-01640236,0
LL-I-08802275,1
LL-I-04967757,1
LL-I-10496469,0
LL-I-16182344,0
LL-I-00578532,0
LL-I-07958100,0
LL-I-05629315,0
LL-I-17945147,1
LL-I-09326091,0
LL-I-12051355,0
LL-I-13255392,1
LL-I-12820058,0
LL-I-01395171,0
LL-I-01039892,0
LL-I-08933446,0
LL-I-02349141,0
LL-I-06479311,0
LL-I-12392575,0
LL-I-03380101,0
LL-I-03582739,1
LL-I-09896775,0
LL-I-17400602,0
LL-I-12219824,1
LL-I-05834109,0
LL-I-11482258,1
LL-I-06919658,0
LL-I-07906085,1
LL-I-04863710,1
LL-I-08356593,0
LL-I-12887034,0
LL-I-06741104,1
LL-I-14443443,0
LL-I-12194730,1
LL-I-07305523,0
LL-I-14437403,0
LL-I-13780089,1
LL-I-18587748,0
LL-I-06233567,0
LL-I-17345579,0
LL-I-14295907,0
LL-I-07289516,0
LL-I-06924804,0
LL-I-18316213,0
LL-I-12452634,1
LL-I-04386519,1
LL-I-08057394,1
LL-I-05850184,0
LL-I-13422881,0
LL-I-00878300,0
LL-I-07725076,0
LL-I-02875805,0
LL-I-05038777,0
LL-I-10640809,0
LL-I-13597375,0
LL-I-09035329,0
LL-I-12598998,0
LL-I-05807870,0
LL-I-12769966,1
LL-I-13433752,1
LL-I-12802016,0
LL-I-11511946,0
LL-I-06283773,0
LL-I-10458955,0
LL-I-02057798,0
LL-I-17768025,1
LL-I-14110960,0
LL-I-02487849,0
LL-I-12436954,0
LL-I-00193949,0
LL-I-07230723,0
LL-I-13454414,1
LL-I-12103081,0
LL-I-06530396,0
LL-I-13681586,0
LL-I-08255517,0
LL-I-10727060,1
LL-I-18046248,0
LL-I-11277589,0
LL-I-17130390,0
LL-I-18077187,0
LL-I-06289198,0
LL-I-12447565,0
LL-I-06255830,1
LL-I-13557634,0
LL-I-03878813,0
LL-I-13384566,0
LL-I-18023660,0
LL-I-12168244,0
LL-I-16056819,0
LL-I-17752557,0
LL-I-09637347,0
LL-I-03168200,0
LL-I-02829270,0
LL-I-01443312,1
LL-I-00729129,0
LL-I-09486900,1
LL-I-07239155,0
LL-I-14628086,0
LL-I-12079967,0
LL-I-09940611,0
LL-I-12902114,1
LL-I-10678541,1
LL-I-07605966,1
LL-I-10333735,1
LL-I-07512890,0
LL-I-10294979,0
LL-I-15823891,0
LL-I-17438410,0
LL-I-18489165,1
LL-I-17729323,0
LL-I-12930068,0
LL-I-01636957,0
LL-I-14587351,0
LL-I-03548163,1
LL-I-16699100,0
LL-I-13089209,0
LL-I-06571461,0
LL-I-10229043,0
LL-I-18059156,0
LL-I-11358761,0
LL-I-11990840,0
LL-I-14069402,0
LL-I-05111303,0
LL-I-18136027,0
LL-I-02243815,1
LL-I-10010241,1
LL-I-09966511,0
LL-I-00777854,0
LL-I-12841095,0
LL-I-09035333,1
LL-I-01633135,0
LL-I-14748225,0
LL-I-07599468,0
LL-I-17829947,0
LL-I-03160579,0
LL-I-17942070,0
LL-I-11131696,0
LL-I-17736457,0
LL-I-12206039,1
LL-I-09577612,0
LL-I-02170896,1
LL-I-18156661,0
LL-I-16086256,0
LL-I-12638096,0
LL-I-09040472,0
LL-I-18051993,1
LL-I-09615073,1
LL-I-14385667,0
LL-I-10360602,0
LL-I-16839238,1
LL-I-03153739,0
LL-I-18212262,1
LL-I-12080455,0
LL-I-06488270,0
LL-I-12591080,0
LL-I-00591254,0
LL-I-12423530,0
LL-I-15253579,0
LL-I-14462973,0
LL-I-09812128,0
LL-I-06189271,0
LL-I-12455957,1
LL-I-07845803,0
LL-I-12726118,1
LL-I-12959166,0
LL-I-17913199,0
LL-I-06490620,0
LL-I-09794536,0
LL-I-03456327,1
LL-I-11460635,0
LL-I-07133694,0
LL-I-08274116,0
LL-I-13473825,1
LL-I-15354854,0
LL-I-05054197,0
LL-I-17823043,0
LL-I-16110960,0
LL-I-12972358,0
LL-I-16300285,0
LL-I-04098416,0
LL-I-11735906,1
LL-I-04639583,1
LL-I-03863563,0
LL-I-10464272,0
LL-I-01607591,0
LL-I-06947960,1
LL-I-11709614,0
